  Nz=Nparall      Px    
 -2.7688E+01  4.1416E-04
 -2.7676E+01  4.2334E-04
 -2.7664E+01  4.3043E-04
 -2.7652E+01  4.3547E-04
 -2.7640E+01  4.3851E-04
 -2.7628E+01  4.3961E-04
 -2.7617E+01  4.3882E-04
 -2.7605E+01  4.3619E-04
 -2.7593E+01  4.3178E-04
 -2.7581E+01  4.2561E-04
 -2.7569E+01  4.1772E-04
 -2.7557E+01  4.0814E-04
 -2.7545E+01  3.9689E-04
 -2.7533E+01  3.8401E-04
 -2.7521E+01  3.6954E-04
 -2.7509E+01  3.5354E-04
 -2.7497E+01  3.3610E-04
 -2.7486E+01  3.1732E-04
 -2.7474E+01  2.9736E-04
 -2.7462E+01  2.7643E-04
 -2.7450E+01  2.5475E-04
 -2.7438E+01  2.3262E-04
 -2.7426E+01  2.1038E-04
 -2.7414E+01  1.8838E-04
 -2.7402E+01  1.6704E-04
 -2.7390E+01  1.4677E-04
 -2.7378E+01  1.2798E-04
 -2.7366E+01  1.1105E-04
 -2.7355E+01  9.6344E-05
 -2.7343E+01  8.4130E-05
 -2.7331E+01  7.4605E-05
 -2.7319E+01  6.7857E-05
 -2.7307E+01  6.3853E-05
 -2.7295E+01  6.2439E-05
 -2.7283E+01  6.3335E-05
 -2.7271E+01  6.6146E-05
 -2.7259E+01  7.0387E-05
 -2.7247E+01  7.5504E-05
 -2.7235E+01  8.0913E-05
 -2.7224E+01  8.6036E-05
 -2.7212E+01  9.0344E-05
 -2.7200E+01  9.3389E-05
 -2.7188E+01  9.4843E-05
 -2.7176E+01  9.4521E-05
 -2.7164E+01  9.2389E-05
 -2.7152E+01  8.8575E-05
 -2.7140E+01  8.3350E-05
 -2.7128E+01  7.7113E-05
 -2.7116E+01  7.0355E-05
 -2.7104E+01  6.3620E-05
 -2.7093E+01  5.7459E-05
 -2.7081E+01  5.2390E-05
 -2.7069E+01  4.8850E-05
 -2.7057E+01  4.7167E-05
 -2.7045E+01  4.7530E-05
 -2.7033E+01  4.9982E-05
 -2.7021E+01  5.4420E-05
 -2.7009E+01  6.0616E-05
 -2.6997E+01  6.8238E-05
 -2.6985E+01  7.6897E-05
 -2.6973E+01  8.6184E-05
 -2.6962E+01  9.5718E-05
 -2.6950E+01  1.0519E-04
 -2.6938E+01  1.1438E-04
 -2.6926E+01  1.2320E-04
 -2.6914E+01  1.3169E-04
 -2.6902E+01  1.4001E-04
 -2.6890E+01  1.4842E-04
 -2.6878E+01  1.5723E-04
 -2.6866E+01  1.6681E-04
 -2.6854E+01  1.7746E-04
 -2.6842E+01  1.8942E-04
 -2.6831E+01  2.0283E-04
 -2.6819E+01  2.1764E-04
 -2.6807E+01  2.3368E-04
 -2.6795E+01  2.5056E-04
 -2.6783E+01  2.6777E-04
 -2.6771E+01  2.8467E-04
 -2.6759E+01  3.0055E-04
 -2.6747E+01  3.1467E-04
 -2.6735E+01  3.2634E-04
 -2.6723E+01  3.3499E-04
 -2.6711E+01  3.4019E-04
 -2.6700E+01  3.4171E-04
 -2.6688E+01  3.3953E-04
 -2.6676E+01  3.3387E-04
 -2.6664E+01  3.2514E-04
 -2.6652E+01  3.1392E-04
 -2.6640E+01  3.0092E-04
 -2.6628E+01  2.8688E-04
 -2.6616E+01  2.7254E-04
 -2.6604E+01  2.5858E-04
 -2.6592E+01  2.4550E-04
 -2.6580E+01  2.3364E-04
 -2.6569E+01  2.2313E-04
 -2.6557E+01  2.1389E-04
 -2.6545E+01  2.0565E-04
 -2.6533E+01  1.9798E-04
 -2.6521E+01  1.9037E-04
 -2.6509E+01  1.8231E-04
 -2.6497E+01  1.7331E-04
 -2.6485E+01  1.6303E-04
 -2.6473E+01  1.5129E-04
 -2.6461E+01  1.3813E-04
 -2.6449E+01  1.2382E-04
 -2.6438E+01  1.0885E-04
 -2.6426E+01  9.3879E-05
 -2.6414E+01  7.9689E-05
 -2.6402E+01  6.7098E-05
 -2.6390E+01  5.6874E-05
 -2.6378E+01  4.9647E-05
 -2.6366E+01  4.5831E-05
 -2.6354E+01  4.5561E-05
 -2.6342E+01  4.8667E-05
 -2.6330E+01  5.4664E-05
 -2.6318E+01  6.2794E-05
 -2.6307E+01  7.2081E-05
 -2.6295E+01  8.1430E-05
 -2.6283E+01  8.9732E-05
 -2.6271E+01  9.5983E-05
 -2.6259E+01  9.9396E-05
 -2.6247E+01  9.9503E-05
 -2.6235E+01  9.6223E-05
 -2.6223E+01  8.9900E-05
 -2.6211E+01  8.1302E-05
 -2.6199E+01  7.1571E-05
 -2.6187E+01  6.2139E-05
 -2.6176E+01  5.4604E-05
 -2.6164E+01  5.0592E-05
 -2.6152E+01  5.1598E-05
 -2.6140E+01  5.8851E-05
 -2.6128E+01  7.3186E-05
 -2.6116E+01  9.4964E-05
 -2.6104E+01  1.2405E-04
 -2.6092E+01  1.5981E-04
 -2.6080E+01  2.0125E-04
 -2.6068E+01  2.4709E-04
 -2.6056E+01  2.9599E-04
 -2.6045E+01  3.4675E-04
 -2.6033E+01  3.9852E-04
 -2.6021E+01  4.5100E-04
 -2.6009E+01  5.0460E-04
 -2.5997E+01  5.6057E-04
 -2.5985E+01  6.2103E-04
 -2.5973E+01  6.8888E-04
 -2.5961E+01  7.6770E-04
 -2.5949E+01  8.6147E-04
 -2.5937E+01  9.7428E-04
 -2.5925E+01  1.1100E-03
 -2.5914E+01  1.2717E-03
 -2.5902E+01  1.4616E-03
 -2.5890E+01  1.6802E-03
 -2.5878E+01  1.9267E-03
 -2.5866E+01  2.1980E-03
 -2.5854E+01  2.4892E-03
 -2.5842E+01  2.7936E-03
 -2.5830E+01  3.1027E-03
 -2.5818E+01  3.4066E-03
 -2.5806E+01  3.6947E-03
